,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
national_intercept,4.234,1.489,1.357,6.871,0.033,0.023,2057.0,2558.0,1.0
national_slope,-0.171,0.331,-0.783,0.442,0.01,0.01,1067.0,1277.0,1.0
sigma_species_intercept,2.338,0.537,1.331,3.299,0.016,0.009,1079.0,1339.0,1.0
sigma_species_slope,0.952,0.354,0.329,1.632,0.013,0.008,645.0,858.0,1.0
sigma_study,2.17,0.636,1.077,3.391,0.012,0.009,2630.0,2949.0,1.0
