,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
national_intercept,-5.236,1.447,-7.913,-2.587,0.035,0.026,1722.0,1909.0,1.0
national_slope,-0.163,0.369,-0.878,0.535,0.009,0.007,1829.0,2184.0,1.0
sigma_species_intercept,3.156,0.537,2.172,4.133,0.012,0.008,1852.0,2185.0,1.0
sigma_species_slope,0.87,0.39,0.259,1.634,0.015,0.009,619.0,1132.0,1.01
sigma_study,1.274,0.81,0.128,2.722,0.024,0.011,1035.0,1592.0,1.0
