,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
national_intercept,4.301,1.521,1.425,7.282,0.033,0.022,2211.0,2459.0,1.0
national_slope,-0.139,0.325,-0.716,0.536,0.011,0.01,884.0,1151.0,1.01
sigma_species_intercept,2.721,0.513,1.83,3.726,0.012,0.008,1958.0,2676.0,1.0
sigma_species_slope,0.778,0.426,0.009,1.477,0.032,0.016,154.0,73.0,1.01
sigma_study,2.35,0.63,1.312,3.579,0.012,0.01,2666.0,2574.0,1.0
