,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
national_intercept,1.825,0.867,0.219,3.486,0.033,0.019,700.0,1195.0,1.0
national_slope,0.282,0.194,-0.084,0.631,0.007,0.009,971.0,806.0,1.0
sigma_species_intercept,3.086,0.51,2.107,4.018,0.014,0.009,1323.0,2098.0,1.0
sigma_species_slope,0.464,0.24,0.131,0.882,0.011,0.017,565.0,790.0,1.0
sigma_study,0.352,0.388,0.003,1.077,0.012,0.013,825.0,880.0,1.0
