,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
national_intercept,1.714,0.916,0.003,3.452,0.033,0.024,794.0,1218.0,1.0
national_slope,0.549,0.217,0.166,0.968,0.008,0.008,748.0,743.0,1.0
sigma_species_intercept,2.946,0.497,2.077,3.928,0.011,0.007,2135.0,2732.0,1.0
sigma_species_slope,0.535,0.285,0.118,1.078,0.013,0.009,502.0,1061.0,1.01
sigma_study,0.507,0.447,0.01,1.31,0.013,0.015,1077.0,1224.0,1.0
