,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
national_intercept,4.125,1.583,0.855,6.832,0.034,0.025,2144.0,2539.0,1.0
national_slope,-0.182,0.304,-0.742,0.392,0.008,0.007,1483.0,1700.0,1.0
sigma_species_intercept,2.286,0.49,1.417,3.224,0.012,0.008,1568.0,2251.0,1.0
sigma_species_slope,0.845,0.32,0.32,1.472,0.011,0.007,863.0,1078.0,1.0
sigma_study,2.61,0.598,1.513,3.687,0.011,0.009,2784.0,3026.0,1.0
