,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,3.879,1.153,1.656,5.97,0.042,0.023,760.0,1321.0,1.0
beta_year,-0.193,0.012,-0.216,-0.171,0.0,0.0,4134.0,3124.0,1.0
beta_gene_count,0.969,0.923,-0.872,2.639,0.019,0.015,2303.0,2207.0,1.0
beta_key_genes[0],-0.349,0.101,-0.533,-0.155,0.003,0.002,1540.0,2258.0,1.0
beta_key_genes[1],-0.348,0.1,-0.529,-0.153,0.003,0.002,1465.0,1853.0,1.0
beta_key_genes[2],-0.348,0.1,-0.53,-0.156,0.003,0.002,1540.0,2181.0,1.0
beta_key_genes[3],-0.2,0.107,-0.395,0.007,0.003,0.002,1448.0,2207.0,1.0
beta_key_genes[4],0.124,0.116,-0.093,0.336,0.003,0.002,1728.0,2328.0,1.0
sigma_species,2.388,0.471,1.557,3.274,0.013,0.008,1364.0,2144.0,1.0
sigma_gender,0.35,0.434,0.005,1.223,0.02,0.021,497.0,752.0,1.0
sigma_age,0.618,0.231,0.271,1.034,0.007,0.008,1373.0,1050.0,1.0
sigma_source,1.972,0.365,1.294,2.635,0.011,0.007,1035.0,1845.0,1.0
sigma_specialty,0.559,0.198,0.253,0.913,0.006,0.007,1166.0,1566.0,1.0
