Species,Total_Isolates,Discordant_Count,Discordance_Rate_%
Citrobacter freundii,62,8,12.903225806451612
Enterobacter cloacae,196,0,0.0
Enterobacter hormaechi,140,6,4.285714285714286
Enterobacter spp,58,0,0.0
Escherichia coli,3662,908,24.795193883123975
Klebsiella aerogenes,42,0,0.0
Klebsiella oxytoca,18,6,33.333333333333336
Klebsiella pneumoniae,5988,534,8.917835671342685
Morganella morganii,20,0,0.0
Proteus mirabilis,340,6,1.7647058823529411
Providencia rettgeri,36,0,0.0
Providencia spp,12,0,0.0
Providencia stuartii,62,0,0.0
Pseudomonas aeruginosa,476,0,0.0
