Gene,Posterior_Probability_Shared_Across_Species,Median_Number_of_Species_With_Gene
OXA,1.0,14.0
IMP,0.9995,14.0
FOX,1.0,13.0
CTXM1,0.9985,10.0
TEM,0.994,12.0
