,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
national_intercept,1.625,0.859,-0.065,3.167,0.027,0.026,1020.0,1091.0,1.0
national_slope,0.008,0.439,-0.794,0.839,0.016,0.009,793.0,1390.0,1.0
sigma_species_intercept,1.876,0.463,1.067,2.756,0.013,0.007,1297.0,2783.0,1.0
sigma_species_slope,1.562,0.451,0.806,2.453,0.014,0.008,1098.0,1870.0,1.0
sigma_study,0.814,0.496,0.138,1.726,0.012,0.012,2054.0,1900.0,1.0
