,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,1.016,1.23,-1.269,3.357,0.033,0.02,1346.0,1869.0,1.0
beta_year,-0.19,0.016,-0.22,-0.16,0.0,0.0,5046.0,2530.0,1.0
beta_gene_count,0.226,0.936,-1.442,2.034,0.016,0.016,3611.0,2429.0,1.0
beta_key_genes[0],0.21,0.113,-0.003,0.417,0.002,0.001,3048.0,3394.0,1.0
beta_key_genes[1],0.21,0.112,0.005,0.42,0.002,0.001,3044.0,2956.0,1.0
beta_key_genes[2],0.223,0.122,0.0,0.457,0.002,0.002,3445.0,3217.0,1.0
beta_key_genes[3],1.443,0.176,1.107,1.759,0.003,0.003,4828.0,3274.0,1.0
beta_key_genes[4],0.675,0.146,0.413,0.958,0.002,0.002,4410.0,3239.0,1.0
sigma_species,2.825,0.444,2.03,3.684,0.008,0.008,3345.0,3010.0,1.0
sigma_gender,0.451,0.438,0.006,1.288,0.014,0.013,1049.0,1566.0,1.0
sigma_age,0.722,0.328,0.251,1.334,0.009,0.009,1399.0,1593.0,1.0
sigma_source,2.027,0.363,1.369,2.678,0.009,0.006,1621.0,2477.0,1.0
sigma_specialty,1.132,0.326,0.572,1.745,0.006,0.006,2890.0,2991.0,1.0
