,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
national_intercept,1.312,1.014,-0.588,3.259,0.027,0.018,1434.0,1961.0,1.0
national_slope,-0.011,0.388,-0.739,0.739,0.013,0.011,869.0,1197.0,1.0
sigma_species_intercept,2.647,0.483,1.78,3.564,0.011,0.007,1831.0,2517.0,1.0
sigma_species_slope,1.333,0.436,0.614,2.175,0.013,0.009,1071.0,1413.0,1.0
sigma_study,1.233,0.487,0.441,2.131,0.008,0.008,4048.0,2913.0,1.0
