Species,Total_Isolates,Discordant_Count,Discordance_Rate_%
Citrobacter freundii,62,0,0.0
Enterobacter cloacae,196,16,8.16326530612245
Enterobacter hormaechi,140,0,0.0
Enterobacter spp,58,2,3.4482758620689653
Escherichia coli,3662,0,0.0
Klebsiella aerogenes,42,0,0.0
Klebsiella oxytoca,18,0,0.0
Klebsiella pneumoniae,5988,8,0.13360053440213762
Morganella morganii,20,0,0.0
Proteus mirabilis,340,24,7.0588235294117645
Providencia rettgeri,36,0,0.0
Providencia spp,12,0,0.0
Providencia stuartii,62,0,0.0
Pseudomonas aeruginosa,476,0,0.0
