,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
national_intercept,0.283,1.382,-2.256,2.938,0.04,0.024,1167.0,1869.0,1.0
national_slope,0.062,0.541,-0.95,1.086,0.018,0.012,879.0,1165.0,1.0
sigma_species_intercept,5.554,0.561,4.511,6.615,0.012,0.008,2092.0,2773.0,1.0
sigma_species_slope,1.919,0.429,1.152,2.709,0.011,0.007,1445.0,1737.0,1.0
sigma_study,0.953,0.532,0.028,1.884,0.013,0.009,1298.0,808.0,1.0
