,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
national_intercept,2.26,0.931,0.567,4.061,0.036,0.025,694.0,908.0,1.01
national_slope,0.326,0.155,0.066,0.624,0.006,0.009,798.0,803.0,1.0
sigma_species_intercept,2.98,0.494,2.071,3.882,0.011,0.007,1998.0,2145.0,1.0
sigma_species_slope,0.328,0.193,0.072,0.68,0.012,0.008,274.0,823.0,1.02
sigma_study,0.507,0.496,0.009,1.467,0.017,0.019,912.0,1239.0,1.0
