,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
national_intercept,4.655,1.612,1.526,7.642,0.036,0.028,2033.0,2186.0,1.0
national_slope,0.56,0.36,-0.113,1.262,0.009,0.007,1600.0,1995.0,1.0
sigma_species_intercept,2.342,0.537,1.389,3.373,0.017,0.009,972.0,1746.0,1.0
sigma_species_slope,0.979,0.306,0.457,1.542,0.009,0.006,1198.0,2176.0,1.0
sigma_study,2.433,0.64,1.193,3.567,0.013,0.009,2352.0,2760.0,1.0
