,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,2.969,1.182,0.809,5.184,0.039,0.019,941.0,2055.0,1.0
beta_year,-0.099,0.008,-0.113,-0.083,0.0,0.0,3297.0,2835.0,1.0
beta_gene_count,0.768,0.931,-0.989,2.524,0.019,0.016,2409.0,2494.0,1.0
beta_key_genes[0],-0.665,0.074,-0.799,-0.525,0.002,0.001,2135.0,2437.0,1.0
beta_key_genes[1],-0.663,0.074,-0.811,-0.535,0.002,0.001,1906.0,3038.0,1.0
beta_key_genes[2],-0.664,0.076,-0.81,-0.523,0.002,0.001,1945.0,2510.0,1.0
beta_key_genes[3],-0.696,0.079,-0.848,-0.553,0.002,0.001,2042.0,2676.0,1.0
beta_key_genes[4],-0.502,0.081,-0.651,-0.351,0.002,0.001,2232.0,2823.0,1.0
sigma_species,2.7,0.462,1.862,3.562,0.013,0.007,1316.0,2394.0,1.0
sigma_gender,0.383,0.46,0.004,1.317,0.019,0.018,627.0,1054.0,1.0
sigma_age,0.301,0.128,0.126,0.531,0.004,0.006,1363.0,1376.0,1.0
sigma_source,1.961,0.331,1.374,2.592,0.009,0.005,1424.0,2105.0,1.0
sigma_specialty,0.574,0.164,0.305,0.881,0.004,0.004,2397.0,2449.0,1.0
