,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
national_intercept,2.987,1.086,0.969,5.108,0.034,0.024,1006.0,1472.0,1.0
national_slope,-0.106,0.353,-0.784,0.551,0.012,0.009,836.0,1182.0,1.0
sigma_species_intercept,3.229,0.538,2.28,4.246,0.015,0.008,1287.0,1838.0,1.0
sigma_species_slope,1.077,0.334,0.482,1.719,0.011,0.006,875.0,1079.0,1.0
sigma_study,0.869,0.489,0.185,1.777,0.013,0.01,1542.0,2535.0,1.0
