,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
national_intercept,-1.253,0.698,-2.633,-0.048,0.023,0.024,955.0,1065.0,1.0
national_slope,0.241,0.252,-0.235,0.7,0.01,0.009,720.0,1031.0,1.0
sigma_species_intercept,1.819,0.423,1.084,2.605,0.01,0.006,1783.0,2734.0,1.0
sigma_species_slope,0.817,0.261,0.37,1.313,0.008,0.005,1198.0,1836.0,1.0
sigma_study,0.628,0.442,0.081,1.454,0.011,0.011,1912.0,2579.0,1.0
