,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,5.185,1.552,2.305,8.17,0.033,0.024,2205.0,2497.0,1.0
beta_year,-0.231,0.066,-0.364,-0.116,0.001,0.001,5991.0,3082.0,1.0
beta_gene_count,1.294,0.945,-0.433,3.06,0.012,0.016,5736.0,2878.0,1.0
beta_key_genes[0],0.15,0.352,-0.477,0.84,0.006,0.005,3188.0,2995.0,1.0
beta_key_genes[1],0.149,0.336,-0.516,0.759,0.006,0.005,2916.0,3059.0,1.0
beta_key_genes[2],0.138,0.344,-0.589,0.717,0.006,0.005,3184.0,3178.0,1.0
beta_key_genes[3],0.415,0.389,-0.296,1.162,0.007,0.007,3557.0,3013.0,1.0
beta_key_genes[4],0.063,0.368,-0.619,0.745,0.006,0.005,3220.0,3025.0,1.0
sigma_species,1.215,0.436,0.462,1.992,0.014,0.009,931.0,1666.0,1.0
sigma_gender,1.629,0.657,0.574,2.864,0.017,0.011,1675.0,2808.0,1.0
sigma_age,1.523,0.475,0.728,2.406,0.011,0.012,2209.0,1917.0,1.0
sigma_source,1.977,0.428,1.223,2.809,0.015,0.008,877.0,1851.0,1.0
sigma_specialty,1.902,0.452,1.069,2.712,0.01,0.008,2218.0,2803.0,1.0
