,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
national_intercept,5.248,1.401,2.423,7.584,0.036,0.033,1580.0,1616.0,1.0
national_slope,-0.07,0.149,-0.325,0.227,0.004,0.006,1652.0,1005.0,1.0
sigma_species_intercept,1.22,0.434,0.516,2.05,0.016,0.009,696.0,1103.0,1.0
sigma_species_slope,0.184,0.157,0.008,0.462,0.014,0.008,68.0,60.0,1.02
sigma_study,1.67,0.753,0.23,3.004,0.019,0.011,1577.0,1792.0,1.0
