,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,1.401,1.182,-0.848,3.563,0.037,0.022,993.0,2053.0,1.0
beta_year,0.015,0.009,-0.001,0.031,0.0,0.0,4110.0,2891.0,1.0
beta_gene_count,0.339,0.911,-1.347,2.066,0.021,0.014,1838.0,2394.0,1.0
beta_key_genes[0],-0.302,0.082,-0.451,-0.148,0.002,0.001,1809.0,1978.0,1.0
beta_key_genes[1],-0.302,0.082,-0.448,-0.143,0.002,0.001,1621.0,1938.0,1.0
beta_key_genes[2],-0.289,0.082,-0.441,-0.135,0.002,0.001,1806.0,2426.0,1.0
beta_key_genes[3],-0.285,0.086,-0.443,-0.119,0.002,0.002,1865.0,1832.0,1.0
beta_key_genes[4],-0.287,0.091,-0.457,-0.113,0.002,0.002,1955.0,2338.0,1.0
sigma_species,2.702,0.499,1.764,3.596,0.012,0.007,1723.0,2588.0,1.0
sigma_gender,0.556,0.417,0.077,1.36,0.012,0.01,1275.0,2320.0,1.0
sigma_age,0.643,0.231,0.307,1.075,0.006,0.008,1822.0,1795.0,1.0
sigma_source,1.905,0.313,1.338,2.483,0.007,0.005,2032.0,2818.0,1.0
sigma_specialty,0.626,0.19,0.34,0.961,0.005,0.008,1707.0,1416.0,1.0
