,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
national_intercept,1.845,0.82,0.342,3.438,0.029,0.02,781.0,1209.0,1.0
national_slope,0.094,0.121,-0.135,0.325,0.004,0.005,1046.0,888.0,1.0
sigma_species_intercept,2.835,0.5,1.883,3.717,0.012,0.007,1746.0,2338.0,1.0
sigma_species_slope,0.288,0.172,0.092,0.607,0.009,0.01,380.0,626.0,1.0
sigma_study,0.381,0.426,0.007,1.223,0.016,0.017,789.0,973.0,1.0
