,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,2.946,1.14,0.743,5.035,0.035,0.022,1042.0,1401.0,1.01
beta_year,-0.255,0.017,-0.287,-0.223,0.001,0.0,651.0,2315.0,1.01
beta_gene_count,0.74,0.902,-0.99,2.487,0.016,0.016,3124.0,2682.0,1.01
beta_key_genes[0],-0.34,0.117,-0.562,-0.123,0.002,0.002,2666.0,2562.0,1.0
beta_key_genes[1],-0.339,0.116,-0.557,-0.118,0.002,0.002,2869.0,2702.0,1.0
beta_key_genes[2],-0.325,0.118,-0.554,-0.103,0.002,0.002,2708.0,2739.0,1.0
beta_key_genes[3],-0.262,0.125,-0.509,-0.031,0.002,0.002,2719.0,2968.0,1.0
beta_key_genes[4],-0.239,0.131,-0.485,0.002,0.002,0.002,2846.0,2828.0,1.0
sigma_species,1.678,0.403,0.949,2.413,0.01,0.007,1490.0,2287.0,1.0
sigma_gender,0.366,0.45,0.003,1.245,0.022,0.023,139.0,48.0,1.01
sigma_age,0.852,0.374,0.286,1.542,0.016,0.008,401.0,859.0,1.0
sigma_source,2.874,0.437,2.105,3.688,0.015,0.006,925.0,2591.0,1.0
sigma_specialty,0.359,0.158,0.066,0.632,0.005,0.005,971.0,1061.0,1.01
