,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
national_intercept,3.704,1.657,0.518,6.734,0.036,0.03,2146.0,2353.0,1.0
national_slope,0.322,0.398,-0.462,1.031,0.013,0.009,901.0,1534.0,1.01
sigma_species_intercept,1.194,0.355,0.615,1.866,0.01,0.006,1207.0,2550.0,1.0
sigma_species_slope,1.414,0.387,0.724,2.098,0.011,0.008,1329.0,2178.0,1.0
sigma_study,3.13,0.602,2.047,4.267,0.011,0.008,2884.0,2738.0,1.0
