,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
national_intercept,1.651,0.812,0.233,3.268,0.025,0.02,1032.0,1468.0,1.0
national_slope,0.034,0.462,-0.798,0.931,0.016,0.011,831.0,976.0,1.01
sigma_species_intercept,1.872,0.471,1.061,2.74,0.013,0.008,1274.0,2035.0,1.0
sigma_species_slope,1.575,0.462,0.799,2.461,0.014,0.008,1105.0,1875.0,1.0
sigma_study,0.789,0.46,0.175,1.658,0.011,0.01,1977.0,2596.0,1.0
