Gene,Posterior_Probability_Shared_Across_Species,Median_Number_of_Species_With_Gene
OXA,1.0,14.0
IMP,1.0,14.0
FOX,0.9995,13.0
CTXM1,0.99975,11.0
TEM,0.9985,12.0
