,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
national_intercept,1.31,0.903,-0.292,3.023,0.036,0.02,641.0,1353.0,1.0
national_slope,0.238,0.335,-0.379,0.881,0.014,0.012,611.0,672.0,1.0
sigma_species_intercept,3.213,0.503,2.239,4.122,0.012,0.007,1783.0,2680.0,1.0
sigma_species_slope,1.011,0.367,0.396,1.7,0.013,0.008,797.0,1540.0,1.01
sigma_study,0.398,0.415,0.005,1.195,0.014,0.012,605.0,464.0,1.0
