Species,Total_Isolates,Discordant_Count,Discordance_Rate_%
Citrobacter freundii,62,0,0.0
Enterobacter cloacae,196,28,14.285714285714286
Enterobacter hormaechi,140,0,0.0
Enterobacter spp,58,10,17.24137931034483
Escherichia coli,3662,78,2.1299836155106497
Klebsiella aerogenes,42,0,0.0
Klebsiella oxytoca,18,0,0.0
Klebsiella pneumoniae,5988,432,7.214428857715431
Morganella morganii,20,0,0.0
Proteus mirabilis,340,10,2.9411764705882355
Providencia rettgeri,36,0,0.0
Providencia spp,12,0,0.0
Providencia stuartii,62,0,0.0
Pseudomonas aeruginosa,476,78,16.386554621848738
